t[s],CH1,CH2
2.228,7.0,0.056
2.23,7.0,0.064
2.232,7.0,0.056
2.234,7.0,0.056
2.236,7.0,0.064
2.238,7.2,0.064
2.24,7.2,0.064
2.242,7.0,0.064
2.244,7.2,0.064
2.246,7.2,0.056
2.248,7.0,0.056
2.25,7.2,0.056
2.252,7.2,0.056
2.254,7.0,0.056
2.256,7.2,0.056
2.258,7.2,0.056
2.26,7.2,0.056
2.262,7.2,0.056
2.264,7.2,0.056
2.266,7.2,0.056
2.268,7.2,0.048
2.27,7.2,0.056
2.272,7.2,0.056
2.274,7.2,0.048
2.276,7.2,0.048
2.278,7.4,0.048
2.28,7.4,0.048
2.282,7.4,0.048
2.284,7.2,0.048
2.286,7.4,0.048
2.288,7.4,0.048
2.29,7.4,0.048
2.292,7.4,0.048
2.294,7.4,0.048
2.296,7.4,0.048
2.298,7.4,0.048
2.3,7.4,0.04
2.302,7.4,0.048
2.304,7.4,0.048
2.306,7.4,0.048
2.308,7.4,0.04
2.31,7.6,0.04
2.312,7.6,0.048
2.314,7.6,0.04
2.316,7.4,0.04
2.318,7.6,0.04
2.32,7.6,0.04
2.322,7.6,0.04
2.324,7.6,0.04
2.326,7.6,0.04
2.328,7.6,0.04
2.33,7.6,0.04
2.332,7.6,0.04
2.334,7.6,0.04
2.336,7.6,0.032
2.338,7.6,0.04
2.34,7.6,0.04
2.342,7.6,0.032
2.344,7.8,0.04
2.346,7.6,0.04
2.348,7.6,0.04
2.35,7.8,0.032
2.352,7.6,0.032
2.354,7.8,0.032
2.356,7.8,0.032
2.358,7.8,0.04
2.36,7.8,0.032
2.362,7.8,0.04
2.364,7.8,0.032
2.366,7.8,0.032
2.368,7.8,0.032
2.37,7.8,0.032
2.372,7.8,0.032
2.374,7.8,0.032
2.376,7.8,0.032
2.378,7.8,0.032
2.38,8.0,0.032
2.382,7.8,0.032
2.384,8.0,0.032
2.386,7.8,0.032
2.388,8.0,0.032
2.39,8.0,0.032
2.392,8.0,0.024
2.394,7.8,0.032
2.396,8.0,0.032
2.398,8.0,0.032
2.4,8.0,0.024
2.402,8.0,0.032
2.404,8.0,0.032
2.406,8.0,0.032
2.408,8.2,0.024
2.41,8.2,0.024
2.412,8.0,0.024
2.414,8.0,0.024
2.416,8.2,0.024
2.418,8.2,0.024
2.42,8.2,0.024
2.422,8.0,0.024
2.424,8.2,0.032
2.426,8.0,0.032
2.428,8.0,0.024
2.43,8.2,0.024
2.432,8.2,0.024
2.434,8.2,0.024
2.436,8.2,0.024
2.438,8.2,0.024
2.44,8.2,0.024
2.442,8.4,0.024
2.444,8.2,0.024
2.446,8.2,0.024
2.448,8.2,0.024
2.45,8.2,0.024
2.452,8.2,0.024
2.454,8.4,0.024
2.456,8.4,0.024
2.458,8.4,0.024
2.46,8.4,0.024
2.462,8.4,0.024
